AUTO_2073	(A,C_4 \cup 2K_1,P_2 \cup P_3,R,\co{K_5 - e},\co{W_5},co-claw,twin-C_5,twin-house)--free
AUTO_2074	(2K_2,P_4,co-dart)--free
AUTO_2075	co-sun--free
AUTO_2076	odd co-sun--free
AUTO_2077	\co{C_{n+4}}--free
AUTO_2078	\co{P_3}--free
AUTO_2079	(2K_4,house)--free
AUTO_2080	(\co{P_7},\co{star_{1,2,3}},\co{sunlet_4},odd anti-cycle)--free
AUTO_2081	(\co{P_7},\co{star_{1,2,3}},odd anti-cycle)--free
AUTO_2082	(\co{E},odd anti-cycle)--free
AUTO_2083	(\co{star_{1,2,3}},\co{sunlet_4},odd anti-cycle)--free
AUTO_2084	(\co{star_{1,2,3}},odd anti-cycle)--free
AUTO_2085	(co-fork,odd anti-cycle)--free
AUTO_2086	(\co{A},\co{T_2},odd anti-cycle)--free
AUTO_2087	(P_5,\co{A},\co{P_6},anti clique wheel,anti-hole,co-domino)--free
AUTO_2088	(C_6,P_6,\co{P_6},\co{X_{10}},\co{X_{11}},\co{X_{12}},\co{X_{13}},\co{X_{14}},\co{X_{15}},\co{X_5},\co{X_6},\co{X_7},\co{X_8},\co{X_9},anti-hole,co-antenna)--free
AUTO_2089	(C_5,C_6,P_6,\co{C_6},\co{P_6},\co{X_{17}},\co{X_{18}},\co{X_5},\co{X_{98}},co-antenna,co-domino)--free
AUTO_2090	(C_5,P_5,\co{C_6},\co{C_7},\co{C_8},\co{P_8},\co{X_{19}},\co{X_{20}},\co{X_{21}},\co{X_{22}},co-gem)--free
AUTO_2091	(\co{2C_4},\co{3K_2},\co{C_6},\co{E},\co{P_2 \cup P_4},\co{P_6},\co{X_{25}},\co{X_{26}},\co{X_{27}},\co{X_{28}},\co{X_{29}},odd anti-cycle)--free
AUTO_2092	(2K_3,X_{42},\co{A},\co{H},\co{X_{45}},\co{X_{46}},\co{X_{47}},\co{X_{48}},\co{X_{49}},\co{X_{50}},\co{X_{51}},\co{X_{52}},\co{X_{53}},\co{X_{54}},\co{X_{55}},\co{X_{56}},\co{X_{57}})--free
AUTO_2093	(\co{C_{n+4}},\co{X_{59}},co-longhorn)--free
AUTO_2094	(\co{W_4},co-claw)--free
AUTO_2095	(S_3,\co{C_{n+4}},\co{T_2})--free
AUTO_2096	(\co{X_{79}},\co{X_{80}})--free
AUTO_2097	\co{BW_3}--free
